Cr.,PSl.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
jèsam / je̠.sam,*esmi̠,,,,,,,,,,,,,,,,,,,,,*jesmi̠,,,,*jesmь̠,*jesьmь̠,,,,,,,,,,,*jesь̠mь,,,,,,,,,,,,*jesь̠m,,,,,,*jesa̠m,,,,,,,,,,,,,,je̠.sam,,
jȅsti / je̠sti,*ē̠˙stēj,,,*ē̠˙stī,,,,,,,,,,,,,,,,,,*jē̠˙stī,,,*jě̠˙stī,,,,,,,*jě̠˙sti,,,,,,,,,,,,*jě̠sti,,,,,,,,,,,,,,,,,je̠sti,,,,,,,,,,,
jèzik / je̠.zik,*inzū̠˙ku,,,,,,,,,,,,,,,*inzy̠˙ku,,,,,,*jinzy̠˙ku,,,,*jьnzy̠˙kъ,,,*języ̠˙kъ,,,,,,,,,,*jęzī̠˙kъ,*jęzī̠˙kь,,*ję-zī̠˙kь,,*jęzi̠kь,,,,,*jezi̠kь,*jezi̠k,,,,,,,,,,,,,,,,,,,,je̠.zik,,
júha / jū̠.xa,*ja̠wxā˙,,*je̠wxā˙,*jō̠xā˙,,,,,,,,,*jōxā̠˙,,,,,(*jō˙xā̠˙ >) *jūxā̠˙,,,,,,,,,,,,,,*jūxa̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jū̠.xa,,
jùnāk / ju̠.nāk,*jawnā̠ku,,*jewnā̠ku,*jōnā̠ku,,,,,,,,,*jō-nāku̠,,,,,*jūnāku̠,,,,,,,,*jūnākъ̠,,,,,,,,,,,,*jūnā̠·kъ,,*jūnā̠·kь,,*junā̠·kь,,,,,,,,"*junā̠·k (so čak. und in der Posavina, s. Jurišić Vrgada 82)",,,,,,,,,,,,,,,,,,,*junā̠k,ju̠.nāk,,
júsi / jū̠.si,*ja̠wxāj,,*je̠wxāj,*jō̠xē,,,,*jō̠śē,,*jō̠sē,,,*jōsē̠,,,,,*jūsē̠,,,,,,,*jūsě̠,,,,,,,"*jūsě̠ und mit -i in Analogie zum Typ svijéći (siehe dort und Leskien Grammatik 430, Jurišić Slovnica 134 f.) *jūsi̠",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jū̠.si,,
kȁmēn / ka-̠mēn,*kā̠˙meni,,,,,,,,,,,,,,,,,,,,,,,,,*kā̠˙menь,,,,,,,,,,,,,,,,,,*ka̠menь,,,,,,*ka̠men (so auf Vrgada),,,,,,,ka-̠mēn,,,,,,,,,,,,,,,
kćêr / kćē̠r,*dukteri,,,,,,,,,,,,,*duk´t´eri,,,,,,,,,,,,*dъk´t´erь,,,,*dъk´t´ērь,*dъ̠k´t´ērь,,,,*dъ̠t´ērь,,,,,*dь̠t´ērь,,,,,,,,,,*dt´ē̠r,,*tt´ē̠r,,*kt´ē̠r,,,,,,,,,,,,,,,,,,kćē̠r
"kćî / kćī̠, G sg. kće̠ri",*duktī,,,,,,,,,,,,,*duk´t´ī,,,,,,,,,,,,*dъk´t´ī,,,,,*dъ̠k´t´ī,*dъ̠k´t´i,,,*dъ̠t´i,,,,,*dь̠t´i,,,,,,,,,,*dt´ī̠,,*tt´ī̠,,*kt´ī̠,,,,,,,,,,,,,,,,,,"kćī̠, G sg. kće̠ri"
kȍkōš / ko̠kōš,*kakaši,,,,,,,,,,,,,,,,,,,,,,,*kokoši,,*kokošь,,,,*kokōšь,*ko̠kōšь,,,,,,,,,,,,,,,,,,,ko̠kōš,,,,,,,,,,,,,,,,,,,,,,
